Date,Average Daily Expenditure on Medicine B in Dollars
12/10/2011,154.1984054
12/11/2011,231.1567684
12/12/2011,151.101277
12/13/2011,171.5946159
12/14/2011,152.7868618
12/15/2011,159.8273956
12/16/2011,161.2231263
12/17/2011,270.1116996
12/18/2011,189.1840806
12/19/2011,172.354351
12/20/2011,147.7717733
12/21/2011,195.7823395
12/22/2011,167.3440977
12/23/2011,154.1521083
12/24/2011,214.0049463
12/25/2011,204.1565333
12/26/2011,202.22865
12/27/2011,182.4158723
12/28/2011,186.9671632
12/29/2011,204.3212791
12/30/2011,224.9823547
12/31/2011,192.6325465
1/1/2012,199.8962546
1/2/2012,153.8740853
1/3/2012,145.2075497
1/4/2012,149.1941458
1/5/2012,174.7605107
1/6/2012,179.0032457
1/7/2012,175.3899361
1/8/2012,184.7412316
1/9/2012,174.5176014
1/10/2012,198.7897036
1/11/2012,189.8706976
1/12/2012,219.7245382
1/13/2012,170.7507193
1/14/2012,168.781822
1/15/2012,148.6655531
1/16/2012,152.9208833
1/17/2012,145.1712266
1/18/2012,162.8476875
1/19/2012,125.847083
1/20/2012,134.0170577
1/21/2012,177.0218607
1/22/2012,176.06894
1/23/2012,165.4701455
1/24/2012,172.7080674
1/25/2012,169.0856478
1/26/2012,148.5470606
1/27/2012,137.6827561
1/28/2012,130.2057565
1/29/2012,88.03639291
1/30/2012,148.1038268
1/31/2012,183.2154556
2/1/2012,171.5219892
2/2/2012,141.1401791
2/3/2012,148.1574049
2/4/2012,194.8398747
2/5/2012,260.6210493
2/6/2012,176.3225215
2/7/2012,256.7679811
2/8/2012,190.9329752
2/9/2012,193.5910158
2/10/2012,151.7230044
2/11/2012,177.7072084
2/12/2012,161.2627361
2/13/2012,166.1099461
2/14/2012,140.1626135
2/15/2012,157.0838112
2/16/2012,191.2183884
2/17/2012,179.713053
2/18/2012,195.1123893
2/19/2012,137.333285
2/20/2012,146.3703644
2/21/2012,148.174134
2/22/2012,143.8222005
2/23/2012,135.5188926
2/24/2012,194.0826292
2/25/2012,197.1612267
2/26/2012,123.6294072
2/27/2012,181.376626
2/28/2012,179.5964089
2/29/2012,203.6129386
3/1/2012,121.0558094
3/2/2012,129.6797774
3/3/2012,174.3332155
3/4/2012,206.4217276
3/5/2012,168.8610239
3/6/2012,215.77794
3/7/2012,163.3247592
3/8/2012,151.936002
3/9/2012,246.706716
3/10/2012,192.4895726
3/11/2012,279.4748582
3/12/2012,217.2880854
3/13/2012,192.7244843
3/14/2012,187.5100294
3/15/2012,192.2624593
3/16/2012,209.895173
3/17/2012,146.3829703
3/18/2012,147.1358175
3/19/2012,148.2775792
3/20/2012,185.3180761
3/21/2012,202.04046
3/22/2012,185.1320467
3/23/2012,199.9693253
3/24/2012,103.3434645
3/25/2012,155.1251485
3/26/2012,177.9028457
3/27/2012,168.2162751
3/28/2012,210.0956929
3/29/2012,192.4468836
3/30/2012,157.1066615
3/31/2012,246.479882
4/1/2012,163.1779709
4/2/2012,189.4142429
4/3/2012,105.4277541
4/4/2012,176.0061841
4/5/2012,191.4285034
4/6/2012,171.5819884
4/7/2012,276.4598333
4/8/2012,214.5545629
4/9/2012,206.229284
4/10/2012,215.2530923
4/11/2012,208.2615808
4/12/2012,213.3417592
4/13/2012,182.5830426
4/14/2012,176.9367506
4/15/2012,238.8581047
4/16/2012,175.8264305
4/17/2012,197.9644265
4/18/2012,208.3808743
4/19/2012,171.6791843
4/20/2012,197.2930002
